Order,Family,Species,Genome Status,Scaffold N50,Scaffold N50 unit,Average Genome Size (Gb),Sequencing technologies,Year of latest version,"Citation/link, latest version",Year of first version,"Citation/link, first version(s)",Link to latest genome,Reference for genome size (c-value of haploid genome [pg] x 0.978 Gb/pg; or estimated by kmer coverage in Gb),,,,,,,,,,,,,,,,,,,
Anura,Pyxicephalidae,Pyxicephalus adspersus,Chromosomal,0.158,Gb,1.369,"Illumina, HiC, Chicago",--,--,2018,Denton et al. bioRXiv (https://www.biorxiv.org/content/10.1101/329847v2),https://www.ncbi.nlm.nih.gov/assembly/GCA_004786255.1/,www.genomesize.com,,,,,,,,,,,,,,,,,,,
Anura,Ranidae,Rana temporaria,Chromosomal,0.481,Gb,4.169,"PacBio, 10X Genomics Chromium, BioNano, and Arima Hi-C",--,--,2021,Darwin Tree of Life (https://portal.darwintreeoflife.org/data/root/details/Rana%20temporaria),https://www.ncbi.nlm.nih.gov/assembly/GCA_905171775.1,www.genomesize.com,,,,,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Ranitomeya imitator,Scaffolded,0.397,Mb,6.800,"10X Chromium, Oxford Nanopore, PacBio",--,--,2021,Stuckert et al. 2021 (https://onlinelibrary.wiley.com/doi/10.1111/mec.16024),https://www.ncbi.nlm.nih.gov/assembly/GCA_905332335.1/,Estimated from sequence data,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Rhinella marina,Scaffolded,0.168,Mb,4.681,"PacBio, Illumina",--,--,2018,Edwards et al. 2018 (https://academic.oup.com/gigascience/article/7/9/giy095/5067871),https://www.ncbi.nlm.nih.gov/assembly/GCA_900303285.1/,www.genomesize.com,,,,,,,,,,,,,,,,,,,
Anura,Scaphiopodidae,Scaphiopus couchii,Contig,362,bp,1.450,Illumina,--,--,2019,Seidl et al. 2019 (https://academic.oup.com/g3journal/article/9/12/3909/6028079),https://www.ncbi.nlm.nih.gov/assembly/GCA_009364435.1/,Liedtke et al. 2018; www.genomesize.com,,,,,,,,,,,,,,,,,,,
Anura,Scaphiopodidae,Scaphiopus holbrookii,Contig,514,bp,1.353,Illumina,--,--,2019,Seidl et al. 2019 (https://academic.oup.com/g3journal/article/9/12/3909/6028079),https://www.ncbi.nlm.nih.gov/assembly/GCA_009364455.1,www.genomesize.com,,,,,,,,,,,,,,,,,,,
Anura,Scaphiopodidae,Spea bombifrons,Contig,522,bp,1.208,Illumina,--,--,2019,Seidl et al. 2019 (https://academic.oup.com/g3journal/article/9/12/3909/6028079),https://www.ncbi.nlm.nih.gov/assembly/GCA_009364475.1,www.genomesize.com,,,,,,,,,,,,,,,,,,,
Anura,Scaphiopodidae,Spea multiplicata,Scaffolded,0.071,Mb,1.070,"Illumina, PacBio, Oxford Nanopore",--,--,2019,Seidl et al. 2019 (https://academic.oup.com/g3journal/article/9/12/3909/6028079),https://www.ncbi.nlm.nih.gov/assembly/GCA_009364415.1/,Estimated from sequence data,,,,,,,,,,,,,,,,,,,
Anura,Pipidae,Xenopus laevis,Chromosomal,0.155,Gb,3.230,"Illumina, PacBio (unclear if they were both used in latest assembly)",2021,https://www.ncbi.nlm.nih.gov/assembly/GCF_017654675.1/,2016,Session et al. 2016 (https://www.nature.com/articles/nature19840; https://www.ncbi.nlm.nih.gov/assembly/GCF_001663975.1/),https://www.ncbi.nlm.nih.gov/assembly/GCF_017654675.1/,www.genomesize.com,,,,,,,,,,,,,,,,,,,
Anura,Pipidae,Xenopus tropicalis,Chromosomal,0.154,Gb,1.685,"PacBio, Illumina",2019,Mitros et al. 2019 (https://www.sciencedirect.com/science/article/pii/S0012160618303890?via%3Dihub),2010,Hellsten et al. 2010 (https://science.sciencemag.org/content/328/5978/633),https://www.ncbi.nlm.nih.gov/assembly/GCF_000004195.4,www.genomesize.com,,,,,,,,,,,,,,,,,,,
