ID,Species,Organization,Type,Source,No_Media
UCM:Amphibian and reptile specimens:UCM:Herp:66358,Ambystoma rosaceum,UCM Herpetology Collection,Biological Specimen,iDigBio,1
nhmuk:zoo:1953.1.5.81,Rhyacotriton olympicus,Natural History Museum (London) Collection Specimens,Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:291872,Phaeognathus hubrichti,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:237515,Ensatina eschscholtzii,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:63775,Ambystoma gracile,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
mcz:herp:a-125869,Plethodon ainsworthi,MCZ Herpetology,Biological Specimen,iDigBio,1
uf:uf:429636,Amphiuma sp.,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
uf:herp:167277,Desmognathus auriculatus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
UCM:Amphibian and reptile specimens:UCM:Herp:13643,Pseudoeurycea nigromaculata,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:208582,Thorius adelos,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:100934,Hydromantes genei,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
mvz:amphibian and reptile specimens:mvz:herp:129572,Euproctus platycephalus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:mvz:herp:157974,Aneides lugubris,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:224641,Lineatriton lineolus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
ku:kuh:151824,Hynobius nebulosus,KUBI Herpetology Collection,Biological Specimen,iDigBio,5
mvz:amphibian and reptile specimens:227059,Pseudotriton ruber,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
umzc:vertebrates:r.16155,Siren lacertina,UMZC Zoological Specimens,Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:543624,Eurycea lucifuga,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ncsm:ncsm-herp:19905,Necturus lewisi,NCSM Herpetology Collection,Biological Specimen,User Created,3
mvz:amphibian and reptile specimens:mvz:herp:139026,Aneides hardii,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:201094,Aneides aeneus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ypm:vz:ypm hera 004748,Pseudobranchus striatus,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,iDigBio,1
UCM:Amphibian and reptile specimens:UCM:Herp:44345,Thorius macdougalli,UCM Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:43549,Ambystoma dumerilii,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:249003,Chiropterotriton multidentatus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:231146,Liua shihi,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,4
mvz:amphibian and reptile specimens:177903,Pleurodeles waltl,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
oumnh:9555,Calotriton asper,Oxford University Museum of Natural History,Biological Specimen,User Created,0
cas:herp:195131,Tylototriton taliangensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:157813,Desmognathus apalachicolae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:242706,Taricha rivularis,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
usnm:amphibians & reptiles:118510,Eurycea spelaea,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:545580,Eurycea nana,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
fmnh:amphibians and reptiles:259125,Paramesotriton deloustali,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:220000,Plethodon dunni,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:469960,Eurycea multiplicata,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:163716,Thorius pennatulus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:222333,Salamandrella keyserlingii,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
uf:herp:54516,Siren lacertina,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
uf:uf:428565,Notophthalmus sp.,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
uf:herp:92871,Cynops pyrrhogaster,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:mvz:herp:220872,Aneides hardii,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:217535,Bolitoglossa rostrata,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:herp:26711,Onychodactylus japonicus,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:mvz:herp:263836,Cryptotriton nasalis,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
