ID,Species,Organization,Type,Source,No_Media
cas:herp:131000,Bufo lughensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:348803,Eleutherodactylus turquinensis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:42834,Gastrotheca longipes,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
cas:herp:253977,Hyperolius bolifambae,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:249160,Pseudepidalea pewzowi,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
amnh:herpetology:a-59961,Hylophorbus rufescens,AMNH Herpetology Collections,Biological Specimen,iDigBio,2
cas:sua:7265,Micrixalus herrei,CAS Herpetology (HERP),Biological Specimen,iDigBio,4
usnm:amphibians & reptiles:116541,Incilius occidentalis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ku:kuh:132932,Aromobates mayorgai,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
mzusp:a:147468,Chiasmocleis capixaba,Museum of Zoology,Biological Specimen,User Created,0
amnh:herpetology:a-192281,Oreophryne streiffeleri,AMNH Herpetology Collections,Biological Specimen,User Created,1
uta:uta-a:64285,Craugastor mexicanus,UTA Herpetology,Biological Specimen,User Created,2
uf:herp:13889,Hyla arborea,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:315786,Osteopilus septentrionalis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:228333,Assa darlingtoni,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,2
cas:herp:140274,Bufo lughensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,0
uf:herp:185698,Xenopus petersii,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ku:kuh:209422,Gastrotheca testudinea,KUBI Herpetology Collection,Biological Specimen,iDigBio,0
cas:herp:255060,Xenopus fischbergi,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:mvz:herp:241553,Pseudepidalea pseudoraddei,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
amnh:herpetology:a-83048,Sphenophryne cornuta,AMNH Herpetology Collections,Biological Specimen,iDigBio,2
cas:herp:162553,Mertensophryne micranotis,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:116539,Incilius occidentalis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:137777,Rheobates palmatus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,3
mzusp:a:133644,Chiasmocleis altomontana,Museum of Zoology,Biological Specimen,User Created,0
FMNH:Amphibians and Reptiles:24677,Rana livida,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
uta:uta-a:64414,Craugastor pygmaeus,UTA Herpetology,Biological Specimen,User Created,2
uf:herp:106871,Colostethus inguinalis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:27946,Osteopilus septentrionalis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:170010,Euparkerella brasiliensis,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,2
cas:herp:140272,Bufo lughensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,0
uf:herp:37017,Leptodactylus albilabris,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ku:kuh:196806,Gastrotheca rebeccae,KUBI Herpetology Collection,Biological Specimen,iDigBio,0
cas:herp:253601,Hylarana amnicola,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:241541,Pseudepidalea brongersmai,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
amnh:herpetology:a-81059,Mantophryne lateralis,AMNH Herpetology Collections,Biological Specimen,iDigBio,0
cas:herp:240435,Limnonectes blythii,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:214077,Incilius mazatlanensis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ku:kuh:166157,Anomaloglossus wothuja,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:68063,Barycholos pulcher,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
MCZ:Herp:A-136487,Elachistocleis bicolor,MCZ Herpetology,Biological Specimen,iDigBio,1
uf:herp:134735,Rana pipiens,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
sama:herpetology:r60669,Choerophryne proboscidea,South Australian Museum Australia provider for OZCAM,Biological Specimen,User Created,0
usnm:amphibians & reptiles:315797,Osteopilus septentrionalis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mcz:herp:a-137992,Werneria tandyi,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:herp:140254,Bufo lughensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:5202,Eleutherodactylus cuneatus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:herp:152042,Gastrotheca riobambae,CAS Herpetology (HERP),Biological Specimen,iDigBio,0
cas:herp:258534,Hemisus guineensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:269958,Duellmanohyla soralia,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
cas:herp:168679,Hoplophryne rogersi,CAS Herpetology (HERP),Biological Specimen,iDigBio,4
ku:kuh:306058,Limnonectes macrocephalus,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:107722,Melanophryniscus stelzneri,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:herp:168829,Arthroleptis lonnbergi,CAS Herpetology (HERP),Biological Specimen,iDigBio,0
ces:f:203,Nasikabatrachus sahyadrensis,Centre for Ecological Science,Biological Specimen,User Created,4
MCZ:Herp:A-88302,Elachistocleis bicolor,MCZ Herpetology,Biological Specimen,iDigBio,1
uf:herp:20140,Indirana semipalmata,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
sama:herpetology:r62476,Choerophryne burtoni,South Australian Museum Australia provider for OZCAM,Biological Specimen,User Created,0
usnm:amphibians & reptiles:315785,Osteopilus septentrionalis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:97975,Rana humeralis,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,3
cas:herp:140248,Bufo lughensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:63236,Eleutherodactylus cuneatus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:98224,Gastrotheca riobambae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
cas:herp:258446,Xenopus petersii,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:mvz:herp:264248,Craugastor brocchi,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
cas:herp:231524,Micryletta inornata,CAS Herpetology (HERP),Biological Specimen,iDigBio,4
cas:herp:253933,Leptodactylodon ovatus,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:61189,Ingerophrynus celebensis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:200455,Macrogenioglottus alipioi,NMNH Extant Specimen Records,Biological Specimen,iDigBio,3
zsm:36/0,Hemiphractus fasciatus,Zoologische Staatssammlung München (Bavarian State Collection of Zoology),Biological Specimen,User Created,5
MCZ:Herp:A-3727,Elachistocleis ovalis,MCZ Herpetology,Biological Specimen,iDigBio,1
uf:herp:66992,Phrynobatrachus acridoides,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
sama:herpetology:r56075,Choerophryne allisoni,South Australian Museum Australia provider for OZCAM,Biological Specimen,User Created,0
usnm:amphibians & reptiles:28032,Osteopilus septentrionalis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:49389,Vibrissaphora boringii,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
cas:herp:140245,Bufo lughensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:348805,Eleutherodactylus turquinensis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:71755,Gastrotheca cornuta,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
cas:herp:256033,Phlyctimantis verrucosus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:247539,Dendropsophus marmoratus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
uf:herp:153535,Rhombophryne testudo,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
cas:herp:157008,Microbatrachella capensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:52986,Ingerophrynus celebensis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ku:kuh:154421,Mannophryne olmonae,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:68008,Syncope antenori,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
MCZ:Herp:A-104086,Eupsophus migueli,MCZ Herpetology,Biological Specimen,iDigBio,1
l-jz:JZ:13,Atelognathus patagonicus,"Department of Botany and Zoology, CL.I.M.E laboratory",Biological Specimen,User Created,1
fmnh:amphibians and reptiles:219902,Huia cavitympanum,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:mvz:herp:176519,Hemiphractus scutatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
mcz:herp:a-105017,Atelopus longirostris,MCZ Herpetology,Biological Specimen,iDigBio,1
ku:kuh:336892,Boophis sambirano,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:4470,Dendrobates auratus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ku:kuh:163274,Gastrotheca testudinea,KUBI Herpetology Collection,Biological Specimen,iDigBio,0
mcz:herp:a-17804,Mertensophryne lonnbergi,MCZ Herpetology,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:271838,Chalcorana sp.,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:97942,Philoria frosti,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
cas:herp:156126,Nothophryne broadleyi,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:571097,Nectophryne batesii,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:92599,Cryptobatrachus boulengeri,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
ces:f:1807,Melanobatrachus indicus,Centre for Ecological Science,Biological Specimen,User Created,2
MCZ:Herp:A-28574,Elachistocleis ovalis,MCZ Herpetology,Biological Specimen,iDigBio,1
uf:herp:180509,Hemisus perreti,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
amnh:herpetology:a-79861,Arcovomer passarellii,AMNH Herpetology Collections,Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:mvz:herp:254270,Kaloula pulchra,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
mcz:herp:a-8198,Philautus leucorhinus,MCZ Herpetology,Biological Specimen,iDigBio,1
ku:kuh:340699,Boophis bottae,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:580563,Alexteroon obstetricans,NMNH Extant Specimen Records,Biological Specimen,iDigBio,4
uf:herp:30080,Gastrotheca dysprosita,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
cas:herp:260154,Hylarana albolabris,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:270108,Ptychohyla euthysanota,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:200062,Rana lessonae,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
cas:herp:174045,Nectophrynoides viviparus,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:193537,Osornophryne bufoniformis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:herp:258101,Amnirana albolabris,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
ces:f:648,Indirana phrynoderma,Centre for Ecological Science,Biological Specimen,User Created,3
MCZ:Herp:A-35373,Elachistocleis ovalis,MCZ Herpetology,Biological Specimen,iDigBio,1
zmmu:a:6028-1,Microhyla nepenthicola,"Zoological Museum, M.V. Lomonosov Moscow State University",Biological Specimen,User Created,1
amnh:herpetology:a-115764,Hamptophryne boliviana,AMNH Herpetology Collections,Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:27955,Osteopilus septentrionalis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mcz:herp:a-3787,Philautus nasutus,MCZ Herpetology,Biological Specimen,iDigBio,1
mcz:herp:a-17499,Ceratophrys cornuta,MCZ Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:525811,Paratelmatobius lutzii,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
ku:kuh:138674,Gastrotheca ochoai,KUBI Herpetology Collection,Biological Specimen,iDigBio,0
cas:herp:260122,Hylarana lepus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:271671,Phrynella pulchra,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
fmnh:amphibians and reptiles:272610,Meristogenys whiteheadi,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
cas:herp:156617,Natalobatrachus bonebergi,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:107712,Melanophryniscus stelzneri,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ku:kuh:306056,Limnonectes macrocephalus,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
uf:herp:67444,Acris crepitans,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
MCZ:Herp:A-12860,Elachistocleis ovalis,MCZ Herpetology,Biological Specimen,iDigBio,1
amnh:herpetology:a-41813,Hemisus guineensis,AMNH Herpetology Collections,Biological Specimen,iDigBio,1
ummz:herps:177463,Leiopelma hochstetteri,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,2
cas:herp:250653,Rana sp.,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
uc:herps:001,Xenopus tropicalis,Department of Organismal Biology & Anatomy,Biological Specimen,User Created,1
ku:kuh:336865,Boophis rhodoscelis,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:herp:257985,Hyperolius cinnamomeoventris,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
ku:kuh:195628,Gastrotheca guentheri,KUBI Herpetology Collection,Biological Specimen,iDigBio,0
cas:sua:21892,Physalaemus pustulosus,CAS Herpetology (HERP),Biological Specimen,iDigBio,4
mvz:amphibian and reptile specimens:mvz:herp:44977,Batrachylodes vertebralis,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:231196,Metaphrynella sundana,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
cas:sua:20916,Nyctixalus spinosus,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
ku:kuh:93172,Dendrophryniscus brevipollicatus,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
cas:herp:258174,Hoplobatrachus occipitalis,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
ces:f:1647,Micrixalus adonis,Centre for Ecological Science,Biological Specimen,User Created,2
MCZ:Herp:A-16066,Elachistocleis ovalis,MCZ Herpetology,Biological Specimen,iDigBio,1
amnh:herpetology:a-9509,Xenopus muelleri,AMNH Herpetology Collections,Biological Specimen,iDigBio,0
mnhn:ra:1978.335,Leptodactylus sp.,The reptiles and amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris),Biological Specimen,iDigBio,3
mcz:herp:a-135999,Aubria masako,MCZ Herpetology,Biological Specimen,iDigBio,2
mcz:herp:a-20879,Philautus eximius,MCZ Herpetology,Biological Specimen,iDigBio,1
ku:kuh:279279,Eleutherodactylus gryllus,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:66650,Lithobates capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
uf:herp:98223,Gastrotheca riobambae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
mcz:herp:a-10333,Mertensophryne micranotis,MCZ Herpetology,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:42108,Platymantis papuensis,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
fmnh:amphibians and reptiles:252946,Chirixalus palpebralis,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
cas:herp:125402,Nyctibatrachus major,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:193540,Osornophryne bufoniformis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:107546,Quasipaa boulengeri,NMNH Extant Specimen Records,Biological Specimen,iDigBio,5
ces:f:775,Nyctibatrachus aliciae,Centre for Ecological Science,Biological Specimen,User Created,3
MCZ:Herp:A-30125,Elachistocleis ovalis,MCZ Herpetology,Biological Specimen,iDigBio,1
amnh:herpetology:a-95097,Hemisus guineensis,AMNH Herpetology Collections,Biological Specimen,iDigBio,1
mcz:herp:a-11792,Dyscophus antongilii,MCZ Herpetology,Biological Specimen,iDigBio,3
ku:kuh:92190,Xenohyla truncata,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
mcz:herp:a-20878,Polypedates dimbullae,MCZ Herpetology,Biological Specimen,iDigBio,1
ku:kuh:342970,Boophis marojezensis,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
uf:herp:163449,Lithobates capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
uf:herp:65782,Gastrotheca peruana,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
cas:herp:260155,Hylarana lepus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:272190,Rhacophorus pardalis,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:218144,Pedostibes tuberculosus,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,4
cas:herp:256829,Nyctibates corrugatus,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:51864,Peltophryne fustiger,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:80585,Cornufer guentheri,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
ces:f:878,Nasikabatrachus sahyadrensis,Centre for Ecological Science,Biological Specimen,User Created,0
MCZ:Herp:A-136427,Lithobates berlandieri,MCZ Herpetology,Biological Specimen,iDigBio,1
amnh:herpetology:a-23192,Dischidodactylus duidensis,AMNH Herpetology Collections,Biological Specimen,iDigBio,1
uf:herp:100534,Leptodactylus albilabris,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
uf:herp:109706,Diaglena spatulata,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
irsnb:17131,Oreophrynella cryptica,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
ku:kuh:94394,Eleutherodactylus lentus,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:herp:257986,Hyperolius cinnamomeoventris,,Biological Specimen,iDigBio,1
mcz:herp:a-89110,Phyllonastes myrmecoides,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:sua:22070,Kalophrynus pleurostigma,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
ku:kuh:147216,Litoria novaehollandiae,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
cas:herp:104261,Nyctibatrachus humayuni,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
ku:kuh:321404,Nyctixalus spinosus,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ku:kuh:161438,Telmatobufo venustus,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ku:kuh:71781,Aparasphenodon brunoi,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ces:f:1565,Astrobatrachus kurichiyana,Centre for Ecological Science,Biological Specimen,User Created,0
MCZ:Herp:A-2244,Alsodes vittatus,MCZ Herpetology,Biological Specimen,iDigBio,1
ku:kuh:335736,Leptolalax solus,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:80550,Rana capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
tnhc:herpetology:37720,Conraua beccarii,"University of Texas, Biodiversity Center, TNHC Herpetology Collection",Biological Specimen,iDigBio,2
uc:herps:003,Xenopus tropicalis,Department of Organismal Biology & Anatomy,Biological Specimen,User Created,1
ku:kuh:288691,Peltophryne lemur,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
cas:herp:254482,Hyperolius cinnamomeoventris,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
mcz:herp:a-58884,Metacrinia nichollsi,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:sua:11774,Crossodactylodes sp.,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
uf:herp:57057,Bombina bombina,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
cas:herp:153753,Rheobatrachus silus,CAS Herpetology (HERP),Biological Specimen,iDigBio,4
cas:herp:247492,Nyctixalus pictus,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
cas:herp:162117,Spinophrynoides osgoodi,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
ku:kuh:92220,Corythomantis greeningi,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ces:f:1325,Raorchestes resplendens,Centre for Ecological Science,Biological Specimen,User Created,2
MCZ:Herp:A-15686,Elachistocleis ovalis,MCZ Herpetology,Biological Specimen,iDigBio,1
amnh:herpetology:a-55349,Excidobates mysteriosus,AMNH Herpetology Collections,Biological Specimen,iDigBio,1
uf:herp:2375,Rana capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
amnh:herpetology:a-3053,Breviceps gibbosus,AMNH Herpetology Collections,Biological Specimen,iDigBio,4
uc:herps:002,Xenopus tropicalis,Department of Organismal Biology & Anatomy,Biological Specimen,User Created,1
ku:kuh:264172,Peltophryne lemur,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:herp:254486,Hyperolius cinnamomeoventris,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
mcz:herp:a-45643,Paracrinia haswelli,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:sua:18268,Xenopus victorianus,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:mvz:herp:263914,Plectrohyla guatemalensis,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:205610,Hemisus guttatus,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
cas:herp:230204,Odontobatrachus natator,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
ku:kuh:98135,Leptophryne borbonica,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ku:kuh:71514,Triprion petasatus,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ces:f:1283,Raorchestes primarrumpfi,Centre for Ecological Science,Biological Specimen,User Created,2
KU:KUH:221634,Gastrotheca guentheri,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:266326,Eleutherodactylus coqui,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:155713,Eleutherodactylus antillensis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
uf:herp:27563,Hymenochirus boettgeri,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
irsnb:17134,Oreophrynella cryptica,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
ku:kuh:178494,Gastrotheca lojana,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
ummz:herps:214595,Boehmantis microtympanum,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,1
ku:kuh:92962,Megaelosia goeldii,KUBI Herpetology Collection,Biological Specimen,iDigBio,4
cas:herp:164437,Xenopus fischbergi,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
ku:kuh:189176,Minyobates steyermarki,KUBI Herpetology Collection,Biological Specimen,iDigBio,4
cas:herp:207765,Xenopus allofraseri,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
cas:herp:94059,Pelodytes caucasicus,CAS Herpetology (HERP),Biological Specimen,iDigBio,4
ku:kuh:118016,Nymphargus griffithsi,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ku:kuh:74250,Phyllodytes luteolus,KUBI Herpetology Collection,Biological Specimen,iDigBio,4
uf:herp:67472,Acris crepitans,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
KU:KUH:169389,Gastrotheca dendronastes,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:herp:254154,Hyperolius dintelmanni,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:100535,Leptodactylus albilabris,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
ku:kuh:40011,Fejervarya cancrivora,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
irsnb:17133,Oreophrynella cryptica,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
ku:kuh:164234,Gastrotheca psychrophila,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:68677,Pseudepidalea raddei,NMNH Extant Specimen Records,Biological Specimen,iDigBio,3
mcz:herp:a-97778,Phyllomedusa perinesos,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:herp:146957,Agalychnis callidryas,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
ku:kuh:186932,Geocrinia laevis,KUBI Herpetology Collection,Biological Specimen,iDigBio,5
cas:herp:153602,Hymenochirus boettgeri,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
cas:herp:92371,Pelobates varaldii,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
ku:kuh:169750,Ikakogi tayrona,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ku:kuh:116935,Argenteohyla siemersi,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ces:f:877,Nasikabatrachus sahyadrensis,Centre for Ecological Science,Biological Specimen,User Created,2
KU:KUH:169383,Gastrotheca dendronastes,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
amnh:herpetology:a-122260,Atopophrynus syntomopus,AMNH Herpetology Collections,Biological Specimen,iDigBio,1
uf:herp:37278,Eleutherodactylus antillensis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
amnh:herpetology:a-60046,Copiula oxyrhina,AMNH Herpetology Collections,Biological Specimen,iDigBio,3
