"","Species","n_media"
"191","Salamandra atra",1
"192","Salamandra corsica",1
"193","Salamandra salamandra",1
"194","Salamandrella keyserlingii",1
"195","Salamandrina terdigitata",1
"196","Sooglossus sechellensis",1
"197","Spea multiplicata",1
"198","Strabomantis biporcatus",1
"199","Strabomantis cornutus",1
"200","Strabomantis ingeri",1
"201","Stumpffia pygmaea",1
"202","Syncope antenori",1
"203","Taricha rivularis",1
"204","Taricha torosa",1
"205","Thorius minutissimus",1
"206","Thorius narisovalis",1
"207","Thorius pinicola",1
"208","Thorius tlaxiacus",1
"209","Thoropa miliaris",1
"210","Tomopterna marmorata",1
"211","Trichobatrachus robustus",1
"212","Triturus carnifex",1
"213","Triturus cristatus",1
"214","Typhlonectes compressicauda",1
"215","Vandijkophrynus gariepensis",1
"216","Xenopus laevis",1
